city_id,city,country_id,last_update
1,A Corua (La Corua),87,2022-02-15 17:45:25+08
2,Abha,82,2022-02-15 17:45:25+08
3,Abu Dhabi,101,2022-02-15 17:45:25+08
4,Acua,60,2022-02-15 17:45:25+08
5,Adana,97,2022-02-15 17:45:25+08
6,Addis Abeba,31,2022-02-15 17:45:25+08
7,Aden,107,2022-02-15 17:45:25+08
8,Adoni,44,2022-02-15 17:45:25+08
9,Ahmadnagar,44,2022-02-15 17:45:25+08
10,Akishima,50,2022-02-15 17:45:25+08
11,Akron,103,2022-02-15 17:45:25+08
12,al-Ayn,101,2022-02-15 17:45:25+08
13,al-Hawiya,82,2022-02-15 17:45:25+08
14,al-Manama,11,2022-02-15 17:45:25+08
15,al-Qadarif,89,2022-02-15 17:45:25+08
16,al-Qatif,82,2022-02-15 17:45:25+08
17,Alessandria,49,2022-02-15 17:45:25+08
18,Allappuzha (Alleppey),44,2022-02-15 17:45:25+08
19,Allende,60,2022-02-15 17:45:25+08
20,Almirante Brown,6,2022-02-15 17:45:25+08
21,Alvorada,15,2022-02-15 17:45:25+08
22,Ambattur,44,2022-02-15 17:45:25+08
23,Amersfoort,67,2022-02-15 17:45:25+08
24,Amroha,44,2022-02-15 17:45:25+08
25,Angra dos Reis,15,2022-02-15 17:45:25+08
26,Anpolis,15,2022-02-15 17:45:25+08
27,Antofagasta,22,2022-02-15 17:45:25+08
28,Aparecida de Goinia,15,2022-02-15 17:45:25+08
29,Apeldoorn,67,2022-02-15 17:45:25+08
30,Araatuba,15,2022-02-15 17:45:25+08
31,Arak,46,2022-02-15 17:45:25+08
32,Arecibo,77,2022-02-15 17:45:25+08
33,Arlington,103,2022-02-15 17:45:25+08
34,Ashdod,48,2022-02-15 17:45:25+08
35,Ashgabat,98,2022-02-15 17:45:25+08
36,Ashqelon,48,2022-02-15 17:45:25+08
37,Asuncin,73,2022-02-15 17:45:25+08
38,Athenai,39,2022-02-15 17:45:25+08
39,Atinsk,80,2022-02-15 17:45:25+08
40,Atlixco,60,2022-02-15 17:45:25+08
41,Augusta-Richmond County,103,2022-02-15 17:45:25+08
42,Aurora,103,2022-02-15 17:45:25+08
43,Avellaneda,6,2022-02-15 17:45:25+08
44,Bag,15,2022-02-15 17:45:25+08
45,Baha Blanca,6,2022-02-15 17:45:25+08
46,Baicheng,23,2022-02-15 17:45:25+08
47,Baiyin,23,2022-02-15 17:45:25+08
48,Baku,10,2022-02-15 17:45:25+08
49,Balaiha,80,2022-02-15 17:45:25+08
50,Balikesir,97,2022-02-15 17:45:25+08
51,Balurghat,44,2022-02-15 17:45:25+08
52,Bamenda,19,2022-02-15 17:45:25+08
53,Bandar Seri Begawan,16,2022-02-15 17:45:25+08
54,Banjul,37,2022-02-15 17:45:25+08
55,Barcelona,104,2022-02-15 17:45:25+08
56,Basel,91,2022-02-15 17:45:25+08
57,Bat Yam,48,2022-02-15 17:45:25+08
58,Batman,97,2022-02-15 17:45:25+08
59,Batna,2,2022-02-15 17:45:25+08
60,Battambang,18,2022-02-15 17:45:25+08
61,Baybay,75,2022-02-15 17:45:25+08
62,Bayugan,75,2022-02-15 17:45:25+08
63,Bchar,2,2022-02-15 17:45:25+08
64,Beira,63,2022-02-15 17:45:25+08
65,Bellevue,103,2022-02-15 17:45:25+08
66,Belm,15,2022-02-15 17:45:25+08
67,Benguela,4,2022-02-15 17:45:25+08
68,Beni-Mellal,62,2022-02-15 17:45:25+08
69,Benin City,69,2022-02-15 17:45:25+08
70,Bergamo,49,2022-02-15 17:45:25+08
71,Berhampore (Baharampur),44,2022-02-15 17:45:25+08
72,Bern,91,2022-02-15 17:45:25+08
73,Bhavnagar,44,2022-02-15 17:45:25+08
74,Bhilwara,44,2022-02-15 17:45:25+08
75,Bhimavaram,44,2022-02-15 17:45:25+08
76,Bhopal,44,2022-02-15 17:45:25+08
77,Bhusawal,44,2022-02-15 17:45:25+08
78,Bijapur,44,2022-02-15 17:45:25+08
79,Bilbays,29,2022-02-15 17:45:25+08
80,Binzhou,23,2022-02-15 17:45:25+08
81,Birgunj,66,2022-02-15 17:45:25+08
82,Bislig,75,2022-02-15 17:45:25+08
83,Blumenau,15,2022-02-15 17:45:25+08
84,Boa Vista,15,2022-02-15 17:45:25+08
85,Boksburg,85,2022-02-15 17:45:25+08
86,Botosani,78,2022-02-15 17:45:25+08
87,Botshabelo,85,2022-02-15 17:45:25+08
88,Bradford,102,2022-02-15 17:45:25+08
89,Braslia,15,2022-02-15 17:45:25+08
90,Bratislava,84,2022-02-15 17:45:25+08
91,Brescia,49,2022-02-15 17:45:25+08
92,Brest,34,2022-02-15 17:45:25+08
93,Brindisi,49,2022-02-15 17:45:25+08
94,Brockton,103,2022-02-15 17:45:25+08
95,Bucuresti,78,2022-02-15 17:45:25+08
96,Buenaventura,24,2022-02-15 17:45:25+08
97,Bydgoszcz,76,2022-02-15 17:45:25+08
98,Cabuyao,75,2022-02-15 17:45:25+08
99,Callao,74,2022-02-15 17:45:25+08
100,Cam Ranh,105,2022-02-15 17:45:25+08
101,Cape Coral,103,2022-02-15 17:45:25+08
102,Caracas,104,2022-02-15 17:45:25+08
103,Carmen,60,2022-02-15 17:45:25+08
104,Cavite,75,2022-02-15 17:45:25+08
105,Cayenne,35,2022-02-15 17:45:25+08
106,Celaya,60,2022-02-15 17:45:25+08
107,Chandrapur,44,2022-02-15 17:45:25+08
108,Changhwa,92,2022-02-15 17:45:25+08
109,Changzhou,23,2022-02-15 17:45:25+08
110,Chapra,44,2022-02-15 17:45:25+08
111,Charlotte Amalie,106,2022-02-15 17:45:25+08
112,Chatsworth,85,2022-02-15 17:45:25+08
113,Cheju,86,2022-02-15 17:45:25+08
114,Chiayi,92,2022-02-15 17:45:25+08
115,Chisinau,61,2022-02-15 17:45:25+08
116,Chungho,92,2022-02-15 17:45:25+08
117,Cianjur,45,2022-02-15 17:45:25+08
118,Ciomas,45,2022-02-15 17:45:25+08
119,Ciparay,45,2022-02-15 17:45:25+08
120,Citrus Heights,103,2022-02-15 17:45:25+08
121,Citt del Vaticano,41,2022-02-15 17:45:25+08
122,Ciudad del Este,73,2022-02-15 17:45:25+08
123,Clarksville,103,2022-02-15 17:45:25+08
124,Coacalco de Berriozbal,60,2022-02-15 17:45:25+08
125,Coatzacoalcos,60,2022-02-15 17:45:25+08
126,Compton,103,2022-02-15 17:45:25+08
127,Coquimbo,22,2022-02-15 17:45:25+08
128,Crdoba,6,2022-02-15 17:45:25+08
129,Cuauhtmoc,60,2022-02-15 17:45:25+08
130,Cuautla,60,2022-02-15 17:45:25+08
131,Cuernavaca,60,2022-02-15 17:45:25+08
132,Cuman,104,2022-02-15 17:45:25+08
133,Czestochowa,76,2022-02-15 17:45:25+08
134,Dadu,72,2022-02-15 17:45:25+08
135,Dallas,103,2022-02-15 17:45:25+08
136,Datong,23,2022-02-15 17:45:25+08
137,Daugavpils,54,2022-02-15 17:45:25+08
138,Davao,75,2022-02-15 17:45:25+08
139,Daxian,23,2022-02-15 17:45:25+08
140,Dayton,103,2022-02-15 17:45:25+08
141,Deba Habe,69,2022-02-15 17:45:25+08
142,Denizli,97,2022-02-15 17:45:25+08
143,Dhaka,12,2022-02-15 17:45:25+08
144,Dhule (Dhulia),44,2022-02-15 17:45:25+08
145,Dongying,23,2022-02-15 17:45:25+08
146,Donostia-San Sebastin,87,2022-02-15 17:45:25+08
147,Dos Quebradas,24,2022-02-15 17:45:25+08
148,Duisburg,38,2022-02-15 17:45:25+08
149,Dundee,102,2022-02-15 17:45:25+08
150,Dzerzinsk,80,2022-02-15 17:45:25+08
151,Ede,67,2022-02-15 17:45:25+08
152,Effon-Alaiye,69,2022-02-15 17:45:25+08
153,El Alto,14,2022-02-15 17:45:25+08
154,El Fuerte,60,2022-02-15 17:45:25+08
155,El Monte,103,2022-02-15 17:45:25+08
156,Elista,80,2022-02-15 17:45:25+08
157,Emeishan,23,2022-02-15 17:45:25+08
158,Emmen,67,2022-02-15 17:45:25+08
159,Enshi,23,2022-02-15 17:45:25+08
160,Erlangen,38,2022-02-15 17:45:25+08
161,Escobar,6,2022-02-15 17:45:25+08
162,Esfahan,46,2022-02-15 17:45:25+08
163,Eskisehir,97,2022-02-15 17:45:25+08
164,Etawah,44,2022-02-15 17:45:25+08
165,Ezeiza,6,2022-02-15 17:45:25+08
166,Ezhou,23,2022-02-15 17:45:25+08
167,Faaa,36,2022-02-15 17:45:25+08
168,Fengshan,92,2022-02-15 17:45:25+08
169,Firozabad,44,2022-02-15 17:45:25+08
170,Florencia,24,2022-02-15 17:45:25+08
171,Fontana,103,2022-02-15 17:45:25+08
172,Fukuyama,50,2022-02-15 17:45:25+08
173,Funafuti,99,2022-02-15 17:45:25+08
174,Fuyu,23,2022-02-15 17:45:25+08
175,Fuzhou,23,2022-02-15 17:45:25+08
176,Gandhinagar,44,2022-02-15 17:45:25+08
177,Garden Grove,103,2022-02-15 17:45:25+08
178,Garland,103,2022-02-15 17:45:25+08
179,Gatineau,20,2022-02-15 17:45:25+08
180,Gaziantep,97,2022-02-15 17:45:25+08
181,Gijn,87,2022-02-15 17:45:25+08
182,Gingoog,75,2022-02-15 17:45:25+08
183,Goinia,15,2022-02-15 17:45:25+08
184,Gorontalo,45,2022-02-15 17:45:25+08
185,Grand Prairie,103,2022-02-15 17:45:25+08
186,Graz,9,2022-02-15 17:45:25+08
187,Greensboro,103,2022-02-15 17:45:25+08
188,Guadalajara,60,2022-02-15 17:45:25+08
189,Guaruj,15,2022-02-15 17:45:25+08
190,guas Lindas de Gois,15,2022-02-15 17:45:25+08
191,Gulbarga,44,2022-02-15 17:45:25+08
192,Hagonoy,75,2022-02-15 17:45:25+08
193,Haining,23,2022-02-15 17:45:25+08
194,Haiphong,105,2022-02-15 17:45:25+08
195,Haldia,44,2022-02-15 17:45:25+08
196,Halifax,20,2022-02-15 17:45:25+08
197,Halisahar,44,2022-02-15 17:45:25+08
198,Halle/Saale,38,2022-02-15 17:45:25+08
199,Hami,23,2022-02-15 17:45:25+08
200,Hamilton,68,2022-02-15 17:45:25+08
201,Hanoi,105,2022-02-15 17:45:25+08
202,Hidalgo,60,2022-02-15 17:45:25+08
203,Higashiosaka,50,2022-02-15 17:45:25+08
204,Hino,50,2022-02-15 17:45:25+08
205,Hiroshima,50,2022-02-15 17:45:25+08
206,Hodeida,107,2022-02-15 17:45:25+08
207,Hohhot,23,2022-02-15 17:45:25+08
208,Hoshiarpur,44,2022-02-15 17:45:25+08
209,Hsichuh,92,2022-02-15 17:45:25+08
210,Huaian,23,2022-02-15 17:45:25+08
211,Hubli-Dharwad,44,2022-02-15 17:45:25+08
212,Huejutla de Reyes,60,2022-02-15 17:45:25+08
213,Huixquilucan,60,2022-02-15 17:45:25+08
214,Hunuco,74,2022-02-15 17:45:25+08
215,Ibirit,15,2022-02-15 17:45:25+08
216,Idfu,29,2022-02-15 17:45:25+08
217,Ife,69,2022-02-15 17:45:25+08
218,Ikerre,69,2022-02-15 17:45:25+08
219,Iligan,75,2022-02-15 17:45:25+08
220,Ilorin,69,2022-02-15 17:45:25+08
221,Imus,75,2022-02-15 17:45:25+08
222,Inegl,97,2022-02-15 17:45:25+08
223,Ipoh,59,2022-02-15 17:45:25+08
224,Isesaki,50,2022-02-15 17:45:25+08
225,Ivanovo,80,2022-02-15 17:45:25+08
226,Iwaki,50,2022-02-15 17:45:25+08
227,Iwakuni,50,2022-02-15 17:45:25+08
228,Iwatsuki,50,2022-02-15 17:45:25+08
229,Izumisano,50,2022-02-15 17:45:25+08
230,Jaffna,88,2022-02-15 17:45:25+08
231,Jaipur,44,2022-02-15 17:45:25+08
232,Jakarta,45,2022-02-15 17:45:25+08
233,Jalib al-Shuyukh,53,2022-02-15 17:45:25+08
234,Jamalpur,12,2022-02-15 17:45:25+08
235,Jaroslavl,80,2022-02-15 17:45:25+08
236,Jastrzebie-Zdrj,76,2022-02-15 17:45:25+08
237,Jedda,82,2022-02-15 17:45:25+08
238,Jelets,80,2022-02-15 17:45:25+08
239,Jhansi,44,2022-02-15 17:45:25+08
240,Jinchang,23,2022-02-15 17:45:25+08
241,Jining,23,2022-02-15 17:45:25+08
242,Jinzhou,23,2022-02-15 17:45:25+08
243,Jodhpur,44,2022-02-15 17:45:25+08
244,Johannesburg,85,2022-02-15 17:45:25+08
245,Joliet,103,2022-02-15 17:45:25+08
246,Jos Azueta,60,2022-02-15 17:45:25+08
247,Juazeiro do Norte,15,2022-02-15 17:45:25+08
248,Juiz de Fora,15,2022-02-15 17:45:25+08
249,Junan,23,2022-02-15 17:45:25+08
250,Jurez,60,2022-02-15 17:45:25+08
251,Kabul,1,2022-02-15 17:45:25+08
252,Kaduna,69,2022-02-15 17:45:25+08
253,Kakamigahara,50,2022-02-15 17:45:25+08
254,Kaliningrad,80,2022-02-15 17:45:25+08
255,Kalisz,76,2022-02-15 17:45:25+08
256,Kamakura,50,2022-02-15 17:45:25+08
257,Kamarhati,44,2022-02-15 17:45:25+08
258,Kamjanets-Podilskyi,100,2022-02-15 17:45:25+08
259,Kamyin,80,2022-02-15 17:45:25+08
260,Kanazawa,50,2022-02-15 17:45:25+08
261,Kanchrapara,44,2022-02-15 17:45:25+08
262,Kansas City,103,2022-02-15 17:45:25+08
263,Karnal,44,2022-02-15 17:45:25+08
264,Katihar,44,2022-02-15 17:45:25+08
265,Kermanshah,46,2022-02-15 17:45:25+08
266,Kilis,97,2022-02-15 17:45:25+08
267,Kimberley,85,2022-02-15 17:45:25+08
268,Kimchon,86,2022-02-15 17:45:25+08
269,Kingstown,81,2022-02-15 17:45:25+08
270,Kirovo-Tepetsk,80,2022-02-15 17:45:25+08
271,Kisumu,52,2022-02-15 17:45:25+08
272,Kitwe,109,2022-02-15 17:45:25+08
273,Klerksdorp,85,2022-02-15 17:45:25+08
274,Kolpino,80,2022-02-15 17:45:25+08
275,Konotop,100,2022-02-15 17:45:25+08
276,Koriyama,50,2022-02-15 17:45:25+08
277,Korla,23,2022-02-15 17:45:25+08
278,Korolev,80,2022-02-15 17:45:25+08
279,Kowloon and New Kowloon,42,2022-02-15 17:45:25+08
280,Kragujevac,108,2022-02-15 17:45:25+08
281,Ktahya,97,2022-02-15 17:45:25+08
282,Kuching,59,2022-02-15 17:45:25+08
283,Kumbakonam,44,2022-02-15 17:45:25+08
284,Kurashiki,50,2022-02-15 17:45:25+08
285,Kurgan,80,2022-02-15 17:45:25+08
286,Kursk,80,2022-02-15 17:45:25+08
287,Kuwana,50,2022-02-15 17:45:25+08
288,La Paz,60,2022-02-15 17:45:25+08
289,La Plata,6,2022-02-15 17:45:25+08
290,La Romana,27,2022-02-15 17:45:25+08
291,Laiwu,23,2022-02-15 17:45:25+08
292,Lancaster,103,2022-02-15 17:45:25+08
293,Laohekou,23,2022-02-15 17:45:25+08
294,Lapu-Lapu,75,2022-02-15 17:45:25+08
295,Laredo,103,2022-02-15 17:45:25+08
296,Lausanne,91,2022-02-15 17:45:25+08
297,Le Mans,34,2022-02-15 17:45:25+08
298,Lengshuijiang,23,2022-02-15 17:45:25+08
299,Leshan,23,2022-02-15 17:45:25+08
300,Lethbridge,20,2022-02-15 17:45:25+08
301,Lhokseumawe,45,2022-02-15 17:45:25+08
302,Liaocheng,23,2022-02-15 17:45:25+08
303,Liepaja,54,2022-02-15 17:45:25+08
304,Lilongwe,58,2022-02-15 17:45:25+08
305,Lima,74,2022-02-15 17:45:25+08
306,Lincoln,103,2022-02-15 17:45:25+08
307,Linz,9,2022-02-15 17:45:25+08
308,Lipetsk,80,2022-02-15 17:45:25+08
309,Livorno,49,2022-02-15 17:45:25+08
310,Ljubertsy,80,2022-02-15 17:45:25+08
311,Loja,28,2022-02-15 17:45:25+08
312,London,102,2022-02-15 17:45:25+08
313,London,20,2022-02-15 17:45:25+08
314,Lublin,76,2022-02-15 17:45:25+08
315,Lubumbashi,25,2022-02-15 17:45:25+08
